config,run,seed,variant,image,dice,cldice,betti0_err,erl,skel_px
A_dice,A_dice_s2,2,tta_i,13,0.82042,0.80727,64.0,1645.799,10186
A_dice,A_dice_s2,2,tta_i,14,0.82986,0.84956,59.0,3720.277,8358
A_dice,A_dice_s2,2,tta_i,15,0.81569,0.8473,56.0,3183.17,7651
A_dice,A_dice_s2,2,tta_i,16,0.8415,0.87838,54.0,3755.375,8812
A_dice,A_dice_s2,2,tta_i,17,0.81661,0.83407,55.0,1172.402,7984
A_dice,A_dice_s2,2,tta_i,18,0.82273,0.87531,35.0,3302.955,7659
A_dice,A_dice_s2,2,tta_i,19,0.86986,0.89394,43.0,4811.679,8476
A_dice,A_dice_s2,2,tta_i,20,0.81942,0.85163,73.0,1292.487,7373
A_dice,A_dice_s2,2,tta_iv,01,0.83599,0.87434,43.0,4153.78,9312
A_dice,A_dice_s2,2,tta_iv,02,0.85706,0.86258,54.0,4806.438,9289
A_dice,A_dice_s2,2,tta_iv,03,0.80016,0.79293,73.0,684.754,9221
A_dice,A_dice_s2,2,tta_iv,04,0.83115,0.80321,39.0,2927.511,8926
A_dice,A_dice_s2,2,tta_iv,05,0.8064,0.78404,51.0,2254.529,9586
A_dice,A_dice_s2,2,tta_iv,06,0.79147,0.76293,61.0,2432.285,9989
A_dice,A_dice_s2,2,tta_iv,07,0.81856,0.81037,51.0,2543.073,8968
A_dice,A_dice_s2,2,tta_iv,08,0.79274,0.78259,61.0,555.98,8585
A_dice,A_dice_s2,2,tta_iv,09,0.80619,0.80822,57.0,1029.157,8726
A_dice,A_dice_s2,2,tta_iv,10,0.80921,0.7834,59.0,2651.637,9137
A_dice,A_dice_s2,2,tta_iv,11,0.81293,0.78423,46.0,3397.494,10456
A_dice,A_dice_s2,2,tta_iv,12,0.82632,0.84362,54.0,1122.219,8712
