run,trained_on,scored_against,image,band,breaks,gt_px,dice,cldice,tprec,tsens
ah_f1_s0,ah,ah,im0004,Q1_dimmest,95,15973,0.49161,0.62799,0.79781,0.51777
ah_f1_s0,ah,ah,im0004,Q2,43,11358,0.84827,0.88883,0.95341,0.83244
ah_f1_s0,ah,ah,im0004,Q3,0,3885,0.97647,0.99316,0.99324,0.99307
ah_f1_s0,ah,ah,im0004,Q4_clearest,0,179,0.93194,0.98285,0.97701,0.98876
ah_f1_s0,ah,vk,im0004,Q1_dimmest,181,17400,0.42935,0.39652,0.69057,0.27811
ah_f1_s0,ah,vk,im0004,Q2,51,9469,0.80677,0.76892,0.78652,0.75209
ah_f1_s0,ah,vk,im0004,Q3,2,3547,0.93755,0.94708,0.91976,0.97607
ah_f1_s0,ah,vk,im0004,Q4_clearest,0,186,0.94602,0.97701,0.97701,0.97701
ah_f1_s0,ah,ah,im0005,Q1_dimmest,44,4443,0.27128,0.40242,0.32392,0.53116
ah_f1_s0,ah,ah,im0005,Q2,74,7694,0.63172,0.7347,0.67671,0.80356
