run,trained_on,image,band,n_structures,median_length,contested_frac,crossed_frac,auroc,hesitation_contested,hesitation_agreed,prob_contested,prob_agreed
ah_f1_s0,ah,im0081,Q2,50,9.0,0.56,0.14,0.83442,0.53243,0.21105,0.6637,0.88254
ah_f1_s0,ah,im0081,Q3,103,22.0,0.18447,0.43689,0.87218,0.34626,0.09064,0.74146,0.95244
ah_f1_s0,ah,im0081,Q4_clearest,119,25.0,0.04202,0.41176,0.99649,0.39626,0.01729,0.76957,0.99136
ah_f1_s0,ah,im0082,Q1_dimmest,21,6.0,0.71429,0.0,0.81111,0.54978,0.23611,0.70687,0.88195
ah_f1_s0,ah,im0082,Q2,70,6.5,0.47143,0.05714,0.75184,0.53664,0.27325,0.62125,0.84664
ah_f1_s0,ah,im0082,Q3,86,21.0,0.15116,0.36047,0.82508,0.45189,0.16374,0.72913,0.90166
ah_f1_s0,ah,im0082,Q4_clearest,122,28.0,0.01639,0.58197,0.99167,0.58366,0.02743,0.64261,0.98629
ah_f1_s0,ah,im0139,Q1_dimmest,49,4.0,0.42857,0.08163,0.62245,0.5825,0.42128,0.64582,0.74791
ah_f1_s0,ah,im0139,Q2,96,14.0,0.375,0.27083,0.77778,0.3753,0.17486,0.74962,0.89127
ah_f1_s0,ah,im0139,Q3,88,22.0,0.06818,0.36364,0.95935,0.58257,0.06967,0.64068,0.95689
ah_f1_s0,ah,im0139,Q4_clearest,80,23.5,0.0375,0.4625,0.86147,0.08287,0.02829,0.95856,0.98585
vk_f1_s0,vk,im0001,Q1_dimmest,66,9.0,0.48485,0.24242,0.67004,0.47436,0.33195,0.71288,0.81366
vk_f1_s0,vk,im0001,Q2,111,15.0,0.32432,0.33333,0.65148,0.31322,0.16692,0.78739,0.90224
vk_f1_s0,vk,im0001,Q3,127,18.0,0.14173,0.4252,0.76147,0.14391,0.06428,0.88249,0.96429
vk_f1_s0,vk,im0001,Q4_clearest,61,14.0,0.04918,0.2459,0.94828,0.3627,0.01669,0.50061,0.99165
vk_f1_s0,vk,im0002,Q1_dimmest,60,19.5,0.75,0.33333,0.60889,0.30667,0.23423,0.8135,0.85859
vk_f1_s0,vk,im0002,Q2,69,26.0,0.37681,0.44928,0.79875,0.29022,0.08766,0.8311,0.94186
vk_f1_s0,vk,im0002,Q3,55,19.0,0.14545,0.49091,0.92553,0.46453,0.05712,0.62499,0.97144
vk_f1_s0,vk,im0002,Q4_clearest,35,21.0,0.17143,0.45714,0.90805,0.25496,0.0351,0.8329,0.98245
vk_f1_s0,vk,im0003,Q1_dimmest,25,17.0,0.72,0.16,0.60317,0.29601,0.21455,0.82905,0.89272
vk_f1_s0,vk,im0003,Q2,57,14.0,0.61404,0.24561,0.9026,0.31366,0.0241,0.80783,0.98795
vk_f1_s0,vk,im0003,Q3,74,16.5,0.54054,0.35135,0.80882,0.22948,0.05542,0.87902,0.97229
vk_f1_s0,vk,im0003,Q4_clearest,109,14.0,0.08257,0.31193,0.78,0.08065,0.02259,0.89379,0.9887
vk_f1_s0,vk,im0004,Q1_dimmest,77,19.0,0.55844,0.35065,0.76607,0.32487,0.11636,0.80741,0.91047
vk_f1_s0,vk,im0004,Q2,63,31.0,0.30159,0.44444,0.71651,0.15419,0.05752,0.92291,0.96336
vk_f1_s0,vk,im0004,Q3,28,27.5,0.03571,0.5,1.0,0.25852,0.01676,0.87074,0.99162
vk_f1_s0,vk,im0005,Q1_dimmest,56,11.5,0.82143,0.21429,0.72826,0.39569,0.18175,0.76491,0.90913
vk_f1_s0,vk,im0005,Q2,89,17.0,0.49438,0.33708,0.7702,0.25038,0.08004,0.84305,0.95998
vk_f1_s0,vk,im0005,Q3,100,17.5,0.22,0.35,0.77739,0.18606,0.0475,0.88021,0.97625
vk_f1_s0,vk,im0005,Q4_clearest,159,16.0,0.1195,0.38994,0.6797,0.04851,0.02019,0.97575,0.98991
vk_f1_s0,vk,im0044,Q1_dimmest,51,7.0,0.92157,0.11765,0.65957,0.45741,0.34476,0.63919,0.76819
vk_f1_s0,vk,im0044,Q2,95,12.0,0.64211,0.27368,0.90405,0.43983,0.10249,0.68152,0.94875
vk_f1_s0,vk,im0044,Q3,104,18.0,0.24038,0.43269,0.88759,0.36097,0.06756,0.77075,0.96622
vk_f1_s0,vk,im0044,Q4_clearest,102,16.5,0.12745,0.36275,0.8185,0.10288,0.03022,0.94856,0.98489
vk_f1_s0,vk,im0077,Q1_dimmest,50,6.5,0.78,0.08,0.8345,0.4481,0.13912,0.70216,0.91318
vk_f1_s0,vk,im0077,Q2,100,16.0,0.86,0.24,0.90365,0.38186,0.05225,0.76951,0.97387
vk_f1_s0,vk,im0077,Q3,104,20.5,0.42308,0.42308,0.84735,0.22773,0.04344,0.84698,0.97828
vk_f1_s0,vk,im0077,Q4_clearest,186,19.5,0.01613,0.38172,0.78506,0.05693,0.02672,0.97153,0.98664
vk_f1_s0,vk,im0081,Q1_dimmest,46,8.0,0.86957,0.1087,0.74167,0.48923,0.26955,0.6721,0.86523
vk_f1_s0,vk,im0081,Q2,151,11.0,0.80132,0.17219,0.84353,0.4458,0.13494,0.71224,0.91262
vk_f1_s0,vk,im0081,Q3,144,17.0,0.30556,0.34722,0.84568,0.28411,0.05668,0.82629,0.9699
vk_f1_s0,vk,im0081,Q4_clearest,159,18.0,0.01258,0.30189,0.8758,0.10208,0.02026,0.94896,0.98987
vk_f1_s0,vk,im0082,Q1_dimmest,61,9.0,0.72131,0.16393,0.65107,0.47752,0.35269,0.67618,0.74904
vk_f1_s0,vk,im0082,Q2,108,15.0,0.67593,0.2037,0.82779,0.45906,0.15672,0.71435,0.89208
vk_f1_s0,vk,im0082,Q3,102,18.0,0.15686,0.33333,0.93459,0.41185,0.05138,0.71228,0.97431
vk_f1_s0,vk,im0082,Q4_clearest,164,22.5,0.0122,0.41463,0.8858,0.09715,0.02379,0.95143,0.98811
vk_f1_s0,vk,im0139,Q1_dimmest,92,10.0,0.63043,0.11957,0.80477,0.4783,0.18501,0.66404,0.8946
vk_f1_s0,vk,im0139,Q2,149,14.0,0.53691,0.27517,0.83134,0.32334,0.09834,0.80949,0.94872
vk_f1_s0,vk,im0139,Q3,127,12.0,0.25197,0.29134,0.83372,0.44933,0.04091,0.7556,0.97362
vk_f1_s0,vk,im0139,Q4_clearest,115,17.0,0.07826,0.28696,0.73166,0.0269,0.02455,0.98655,0.98773
soft_f1_s0,soft,im0001,Q1_dimmest,57,10.0,0.61404,0.26316,0.6026,0.58137,0.45031,0.61547,0.77419
soft_f1_s0,soft,im0001,Q2,114,18.0,0.28947,0.33333,0.69061,0.46311,0.26932,0.70043,0.83935
soft_f1_s0,soft,im0001,Q3,93,26.0,0.11828,0.48387,0.81707,0.30309,0.07704,0.84845,0.96148
soft_f1_s0,soft,im0001,Q4_clearest,52,18.0,0.07692,0.28846,0.71875,0.0229,0.02781,0.98855,0.98609
soft_f1_s0,soft,im0002,Q1_dimmest,55,21.0,0.65455,0.29091,0.69444,0.45456,0.2729,0.74406,0.80562
soft_f1_s0,soft,im0002,Q2,59,26.0,0.40678,0.40678,0.85952,0.42448,0.09511,0.72597,0.94554
soft_f1_s0,soft,im0002,Q3,45,21.0,0.04444,0.44444,0.74419,0.08121,0.04533,0.95939,0.97733
soft_f1_s0,soft,im0002,Q4_clearest,34,19.0,0.08824,0.5,0.96774,0.31503,0.04862,0.84248,0.97569
soft_f1_s0,soft,im0003,Q1_dimmest,27,12.0,0.74074,0.11111,0.80714,0.52518,0.21845,0.64543,0.82701
soft_f1_s0,soft,im0003,Q2,47,21.0,0.68085,0.21277,0.70833,0.32992,0.18912,0.79938,0.9026
soft_f1_s0,soft,im0003,Q3,62,17.0,0.51613,0.35484,0.82292,0.29645,0.09409,0.75898,0.94614
soft_f1_s0,soft,im0003,Q4_clearest,93,19.0,0.10753,0.33333,0.84819,0.23975,0.03279,0.81562,0.98361
soft_f1_s0,soft,im0004,Q1_dimmest,64,11.5,0.60938,0.21875,0.77333,0.53133,0.19727,0.64467,0.90136
soft_f1_s0,soft,im0004,Q2,57,43.0,0.31579,0.5614,0.81766,0.24904,0.07465,0.80735,0.96268
soft_f1_s0,soft,im0004,Q3,23,46.0,0.04348,0.65217,1.0,0.3021,0.02787,0.84895,0.98606
soft_f1_s0,soft,im0005,Q1_dimmest,54,6.0,0.83333,0.12963,0.5284,0.40878,0.40119,0.72071,0.76852
soft_f1_s0,soft,im0005,Q2,80,20.0,0.475,0.375,0.75689,0.35554,0.13635,0.79725,0.93183
soft_f1_s0,soft,im0005,Q3,91,20.0,0.23077,0.34066,0.79796,0.31483,0.07167,0.80718,0.96416
soft_f1_s0,soft,im0005,Q4_clearest,149,15.0,0.14765,0.34899,0.63386,0.15994,0.04364,0.91711,0.97818
soft_f1_s0,soft,im0044,Q1_dimmest,38,6.5,0.81579,0.07895,0.69585,0.61726,0.43772,0.56276,0.78114
