run,config,dataset,image,dice,cldice,betti0_err,betti1_err,b0_pred,b0_gt,hd95,erl,erl_ceiling,breaks,severs
B_cldice_s0,B_cldice,stare,im0004,0.6204621750331798,0.7231524575928081,99,15,110,11,27.018512172212592,173.06,2264.78,122,24
B_cldice_s0,B_cldice,stare,im0005,0.7616502672194196,0.7880281848823497,150,8,159,9,22.0,1048.2,2831.52,97,12
B_cldice_s0,B_cldice,stare,im0044,0.7372236786743049,0.7910340916827593,130,6,146,16,15.952847075210475,760.72,1471.06,94,20
B_cldice_s0,B_cldice,stare,im0077,0.7706953141085422,0.8277906701269612,120,16,127,7,11.40175425099138,2699.16,7243.06,75,2
B_cldice_s0,B_cldice,stare,im0081,0.7337501506165236,0.7982571123454912,149,1,152,3,15.811388300841896,2758.43,4825.14,76,11
B_cldice_s0,B_cldice,stare,im0082,0.787220891601638,0.8357296929255719,98,12,106,8,8.602325267042627,2056.87,6053.12,98,9
B_cldice_s0,B_cldice,stare,im0139,0.783432316199058,0.8271983282924178,103,8,107,4,10.0,1667.46,8206.02,108,19
B_cldice_s0,B_cldice,stare,im0162,0.782612197774168,0.8413864360788366,118,21,122,4,6.708203932499369,7916.98,10366.0,117,5
B_cldice_s0,B_cldice,stare,im0163,0.7809390685558167,0.8422383267510354,90,4,91,1,12.196297976949387,6277.74,8302.0,63,7
B_cldice_s0,B_cldice,stare,im0235,0.8036785582026911,0.8537027291559136,80,10,89,9,7.0,2263.36,7740.86,123,9
B_cldice_s0,B_cldice,stare,im0236,0.8137367293026965,0.8624531791483975,90,15,93,3,8.06225774829855,2207.19,7869.82,127,13
B_cldice_s0,B_cldice,stare,im0239,0.7251289190686574,0.7998536769204702,105,20,108,3,14.866068747318506,1118.46,8654.32,158,23
B_cldice_s0,B_cldice,stare,im0240,0.7179359217486775,0.7898061100690901,123,18,130,7,20.615528128088304,827.11,3646.87,124,19
B_cldice_s0,B_cldice,stare,im0255,0.8342420675906133,0.8490578791981319,130,18,133,3,6.708203932499369,7039.62,10587.03,195,4
B_cldice_s0,B_cldice,stare,im0291,0.786656696977737,0.7958443442119233,65,11,70,5,26.92582403567252,720.93,4590.45,95,13
B_cldice_s0,B_cldice,stare,im0319,0.6984765248909781,0.7501721837547402,90,16,97,7,22.627416997969522,177.8,2075.24,117,27
B_cldice_s0,B_cldice,stare,im0324,0.47939396826909336,0.5363611836317933,97,14,102,5,51.75422214824311,47.05,3671.72,71,27
B_cldice_s1,B_cldice,stare,im0001,0.6616953676971956,0.7464282917718301,150,13,154,4,16.278820596099706,675.43,7318.51,118,25
B_cldice_s1,B_cldice,stare,im0002,0.7374386497651919,0.7642326168992305,106,17,108,2,20.8806130178211,1203.13,7020.85,162,28
B_cldice_s1,B_cldice,stare,im0003,0.7201033533674099,0.7841986480508267,90,9,99,9,15.524174696260024,875.42,4712.73,125,23
B_cldice_s1,B_cldice,stare,im0004,0.6130299336313152,0.727257172812454,99,15,110,11,26.0,173.89,2264.78,125,26
B_cldice_s1,B_cldice,stare,im0005,0.7586478738652652,0.7789377605723871,156,10,165,9,23.600847442411894,804.53,2831.52,78,16
B_cldice_s1,B_cldice,stare,im0044,0.7278375679573948,0.7817441155425073,127,0,143,16,16.492422502470642,824.18,1471.06,99,19
B_cldice_s1,B_cldice,stare,im0077,0.7403023555607641,0.7930651665917474,140,9,147,7,14.7648230602334,6137.12,7243.06,53,3
B_cldice_s1,B_cldice,stare,im0081,0.7004689331770223,0.7709034004695191,147,3,150,3,18.110770276274835,3037.01,4825.14,59,7
B_cldice_s1,B_cldice,stare,im0082,0.7416149541249476,0.8037073543053431,119,16,127,8,12.36931687685298,1494.51,6053.12,98,14
B_cldice_s1,B_cldice,stare,im0139,0.7672854384614414,0.8144959665739966,139,13,143,4,12.041594578792296,1531.69,8206.02,110,16
B_cldice_s1,B_cldice,stare,im0162,0.7630918803696531,0.8265053629304882,110,17,114,4,9.005538513813661,7940.5,10366.0,117,6
B_cldice_s1,B_cldice,stare,im0163,0.7679233544855045,0.8373556173477642,95,3,96,1,12.577622707954148,5603.67,8302.0,50,5
B_cldice_s1,B_cldice,stare,im0235,0.7744233378561737,0.8342429949151576,96,8,105,9,9.219544457292887,2203.31,7740.86,110,12
B_cldice_s1,B_cldice,stare,im0236,0.7684011468309644,0.8249074387762486,133,18,136,3,11.704699910719626,2019.59,7869.82,114,19
B_cldice_s1,B_cldice,stare,im0239,0.7053208463406174,0.7875272747423239,159,22,162,3,13.0,1156.41,8654.32,147,20
B_cldice_s1,B_cldice,stare,im0240,0.6985064828491712,0.7837901923473894,134,22,141,7,17.4928556845359,507.95,3646.87,113,21
B_cldice_s1,B_cldice,stare,im0255,0.82001067359677,0.8374504204131965,120,25,123,3,9.433981132056603,7892.35,10587.03,166,8
B_cldice_s1,B_cldice,stare,im0291,0.7858880204028621,0.8114666315066866,62,11,67,5,21.93171219946131,531.71,4590.45,107,6
B_cldice_s1,B_cldice,stare,im0319,0.7040730375241149,0.7456198349874207,104,16,111,7,23.184023584660565,174.82,2075.24,119,21
