run,trained_on,image,band,n_structures,median_length,contested_frac,crossed_frac,auroc,hesitation_contested,hesitation_agreed,prob_contested,prob_agreed
vk_f1_s0,vk,im0004,Q1_dimmest,78,18.0,0.5641,0.0,0.77139,0.33151,0.11407,0.80478,0.91161
vk_f1_s0,vk,im0004,Q2,63,31.0,0.25397,0.0,0.78457,0.14279,0.03636,0.9286,0.97444
vk_f1_s0,vk,im0004,Q3,28,27.5,0.03571,0.0,0.92593,0.00467,0.00335,0.99767,0.99832
vk_f1_s0,vk,im0005,Q1_dimmest,57,12.0,0.82456,0.0,0.73404,0.39334,0.18498,0.76688,0.90751
vk_f1_s0,vk,im0005,Q2,89,17.0,0.48315,0.0,0.82811,0.25533,0.05807,0.83984,0.97096
vk_f1_s0,vk,im0005,Q3,99,17.0,0.19192,0.0,0.81842,0.18146,0.02898,0.87828,0.98551
vk_f1_s0,vk,im0005,Q4_clearest,159,16.0,0.12579,0.0,0.81835,0.05107,0.00587,0.97446,0.99706
vk_f1_s0,vk,im0044,Q1_dimmest,51,7.0,0.94118,0.0,0.70139,0.46269,0.33013,0.6393,0.7557
vk_f1_s0,vk,im0044,Q2,95,12.0,0.63158,0.0,0.90381,0.43808,0.09709,0.68075,0.95146
vk_f1_s0,vk,im0044,Q3,104,18.0,0.23077,0.0,0.94063,0.36675,0.03804,0.76583,0.98098
vk_f1_s0,vk,im0044,Q4_clearest,102,16.5,0.12745,0.0,0.89888,0.10461,0.01359,0.9477,0.99321
vk_f1_s0,vk,im0077,Q1_dimmest,50,6.5,0.78,0.0,0.82517,0.45309,0.14139,0.69967,0.91205
vk_f1_s0,vk,im0077,Q2,101,16.0,0.84158,0.0,0.93088,0.3874,0.04363,0.76627,0.97819
vk_f1_s0,vk,im0077,Q3,104,20.5,0.41346,0.0,0.88258,0.21324,0.02513,0.85332,0.98744
vk_f1_s0,vk,im0077,Q4_clearest,186,19.5,0.01613,0.0,0.90528,0.02732,0.00564,0.98634,0.99718
vk_f1_s0,vk,im0081,Q1_dimmest,46,8.0,0.86957,0.0,0.73333,0.48981,0.26955,0.67181,0.86523
vk_f1_s0,vk,im0081,Q2,150,11.0,0.8,0.0,0.8375,0.44761,0.13928,0.71079,0.91045
vk_f1_s0,vk,im0081,Q3,144,17.0,0.28472,0.0,0.88113,0.28333,0.03798,0.82437,0.9793
vk_f1_s0,vk,im0081,Q4_clearest,159,18.0,0.01258,0.0,0.98726,0.10175,0.00153,0.94912,0.99924
vk_f1_s0,vk,im0082,Q1_dimmest,61,9.0,0.72131,0.0,0.64572,0.47967,0.3555,0.6751,0.74764
vk_f1_s0,vk,im0082,Q2,108,15.0,0.67593,0.0,0.83209,0.46141,0.1527,0.71317,0.8941
vk_f1_s0,vk,im0082,Q3,102,18.0,0.17647,0.0,0.93122,0.37306,0.03991,0.74076,0.98005
vk_f1_s0,vk,im0082,Q4_clearest,164,22.5,0.0122,0.0,0.9537,0.04203,0.00513,0.97899,0.99743
vk_f1_s0,vk,im0139,Q1_dimmest,94,10.0,0.6383,0.0,0.81029,0.47207,0.18393,0.67038,0.89514
vk_f1_s0,vk,im0139,Q2,149,14.0,0.51678,0.0,0.83297,0.32757,0.09097,0.80625,0.9525
vk_f1_s0,vk,im0139,Q3,127,12.0,0.25197,0.0,0.89112,0.44212,0.02118,0.7592,0.98348
vk_f1_s0,vk,im0139,Q4_clearest,115,17.0,0.07826,0.0,0.90042,0.0269,0.00793,0.98655,0.99604
soft_f1_s0,soft,im0001,Q1_dimmest,57,10.0,0.61404,0.0,0.61169,0.58387,0.45265,0.61599,0.77302
soft_f1_s0,soft,im0001,Q2,114,18.0,0.2807,0.0,0.71113,0.4701,0.25609,0.69481,0.84628
soft_f1_s0,soft,im0001,Q3,93,26.0,0.11828,0.0,0.90133,0.30489,0.03916,0.84756,0.98042
soft_f1_s0,soft,im0001,Q4_clearest,52,18.0,0.07692,0.0,0.84896,0.0229,0.00666,0.98855,0.99667
soft_f1_s0,soft,im0002,Q1_dimmest,55,21.0,0.65455,0.0,0.71637,0.463,0.26414,0.73984,0.81
soft_f1_s0,soft,im0002,Q2,59,26.0,0.37288,0.0,0.87592,0.45178,0.07945,0.7067,0.95374
soft_f1_s0,soft,im0002,Q3,45,21.0,0.04444,0.0,0.80233,0.07148,0.02355,0.96426,0.98823
soft_f1_s0,soft,im0002,Q4_clearest,34,19.0,0.08824,0.0,0.95699,0.19838,0.03382,0.90081,0.98309
soft_f1_s0,soft,im0003,Q1_dimmest,27,12.0,0.74074,0.0,0.8,0.51486,0.21423,0.65058,0.82911
soft_f1_s0,soft,im0003,Q2,48,22.0,0.66667,0.0,0.75195,0.32865,0.16516,0.80002,0.91476
soft_f1_s0,soft,im0003,Q3,62,17.0,0.48387,0.0,0.87396,0.27942,0.06036,0.76131,0.96343
soft_f1_s0,soft,im0003,Q4_clearest,93,19.0,0.10753,0.0,0.94458,0.19782,0.00967,0.83658,0.99517
soft_f1_s0,soft,im0004,Q1_dimmest,65,11.0,0.61538,0.0,0.786,0.54281,0.21014,0.64117,0.89493
soft_f1_s0,soft,im0004,Q2,57,43.0,0.29825,0.0,0.86324,0.24068,0.0478,0.80751,0.9761
soft_f1_s0,soft,im0004,Q3,23,46.0,0.04348,0.0,0.95455,0.09296,0.01711,0.95352,0.99144
soft_f1_s0,soft,im0005,Q1_dimmest,54,6.0,0.83333,0.0,0.54321,0.42424,0.40007,0.71298,0.76909
soft_f1_s0,soft,im0005,Q2,79,20.0,0.46835,0.0,0.75547,0.35702,0.13697,0.79584,0.93151
soft_f1_s0,soft,im0005,Q3,91,20.0,0.23077,0.0,0.83197,0.3086,0.05453,0.81029,0.97274
soft_f1_s0,soft,im0005,Q4_clearest,149,15.0,0.14765,0.0,0.69613,0.15901,0.02137,0.91758,0.98932
soft_f1_s0,soft,im0044,Q1_dimmest,38,6.5,0.81579,0.0,0.68203,0.61797,0.44958,0.5624,0.77521
soft_f1_s0,soft,im0044,Q2,73,14.0,0.54795,0.0,0.87121,0.53954,0.22026,0.5757,0.8762
soft_f1_s0,soft,im0044,Q3,96,21.5,0.26042,0.0,0.92901,0.50668,0.06256,0.66027,0.96872
soft_f1_s0,soft,im0044,Q4_clearest,86,19.0,0.13953,0.0,0.87613,0.25973,0.02048,0.8592,0.98976
soft_f1_s0,soft,im0077,Q1_dimmest,32,4.5,0.8125,0.0,0.80128,0.59048,0.3263,0.50606,0.83685
